name,price,img,km,year,type
تويوتا بريوس 2007 نخب 4 جيد وهايبرد ممتاز,7900,https://opensooq-images.os-cdn.com/previews/220x0/9d45/59a3/9d4559a39b69beaa83c5157e6ace47d55d405a74eb49584cc1e7759f3445f604.jpg.jpg,"١٧٠,٠٠٠ - ١٧٩,٩٩٩",2007,تويوتا
هونداي اكسنت,3300,https://opensooq-images.os-cdn.com/previews/220x0/42d7/f983/42d7f9832cb4538f5f69a1a10fd80f7410ad69806aba7aca8cbff0f25f9f039c.jpg.jpg,٠,1997,هيونداي
Ford F150 Limited 2018 3.5L Clean Title,33000,https://opensooq-images.os-cdn.com/previews/220x0/ff8c/51e2/ff8c51e2e0fc508ed93a253a1c6bf4e455d2f42c7a6e5963d80d7e1df7d7f99f.jpg.jpg,"٨٠,٠٠٠ - ٨٩,٩٩٩",2018,فورد
تيوتا بريوس 2012,10000,https://opensooq-images.os-cdn.com/previews/220x0/7529/0268/7529026895204a51e4054bbc56af450103152eb34703bbfaab6a74c2ff96b10d.jpg.jpg,"١٦٠,٠٠٠ - ١٦٩,٩٩٩",2012,تويوتا
اوبل كاديت للبيع,2100,https://opensooq-images.os-cdn.com/previews/220x0/b64e/6d4b/b64e6d4b7e3b884b83348686f1818720e1c7b1c0d75cdafffa41b0152f7303ba.jpg.jpg,"١٩٠,٠٠٠ - ١٩٩,٩٩٩",1991,أوبل
Mercedes 2014 B250 مع كاميرا,16000,https://opensooq-images.os-cdn.com/previews/220x0/8a11/d753/8a11d753bd7672305d09009f2c8956212af00154087123d2f4c5cfb0a337081f.jpg.jpg,"٢٠,٠٠٠ - ٢٩,٩٩٩",2014,مرسيدس بنز
بريوس 2012 فحص كامل,11000,https://opensooq-images.os-cdn.com/previews/220x0/d8e0/b582/d8e0b58226f2401c7eee6c44d1f1be6d5e4e17054ea5e346ea0891bf7c0207c6.jpg.jpg,"٤٠,٠٠٠ - ٤٩,٩٩٩",2012,تويوتا
متسوبيشي لانسر 2016 للبيع,11300,https://opensooq-images.os-cdn.com/previews/220x0/dc4e/02de/dc4e02de0a450ecf58db49aa74355734f9c57729ab434af433a57f81814b1511.jpg.jpg,"١ - ٩,٩٩٩",2016,ميتسوبيشي
جمس انفوي 2008 فل اوبشن فحص كامل مالك واحد من الشركه,10900,https://opensooq-images.os-cdn.com/previews/220x0/956e/7da7/956e7da78e5a83d05ee870e01cc657f648055f2d56402c388daca2eb671d3d62.jpg.jpg,"١٤٠,٠٠٠ - ١٤٩,٩٩٩",2008,جي إم سي
كيا لوتزي 2009 فل اتوماتيك فحص كامل مالك واحد,7500,https://opensooq-images.os-cdn.com/previews/220x0/f713/01f7/f71301f7f37d3b71efc9a31c9174913c58387f2f7c1da2e72c748d41b9e185e9.jpg.jpg,"١٠٠,٠٠٠ - ١٠٩,٩٩٩",2009,كيا
هوندا CRV موديل 2003 فل 4*4 فحص بحالة الوكالة,8800,https://opensooq-images.os-cdn.com/previews/220x0/a474/4322/a4744322727048ecc97e7921b64b967ea832fff168a0cf1a82e529c33057aef6.jpg.jpg,"١١٠,٠٠٠ - ١١٩,٩٩٩",2003,هوندا
نيسان ليف 2014,8800,https://opensooq-images.os-cdn.com/previews/220x0/d545/b7a1/d545b7a1a84915768ea1ca1be4f4918a08d0ddce9066c7d4187468ca767bc478.jpg.jpg,"٨٠,٠٠٠ - ٨٩,٩٩٩",2014,نيسان
لينكولن mkz 2017 الشكل الجديد لون مميز للبيع,20000,https://opensooq-images.os-cdn.com/previews/220x0/46d7/f10e/46d7f10e366b23f7f4343a10f1ce5b94e85e7dac41afe298575b53929bd34168.jpg.jpg,"١٠,٠٠٠ - ١٩,٩٩٩",2017,لينكولن
نيسان ميكرا 2005 فل اوتوماتيك بسعر مغري,4700,https://opensooq-images.os-cdn.com/previews/220x0/1cf7/2dab/1cf72dab3a53e2548f471d4e6b11bda8849bd3053fa51986f4eb40974518fe31.jpg.jpg,"١٠,٠٠٠ - ١٩,٩٩٩",2005,نيسان
كيا بيكانتو 2012 توماتيك 4 جيد مناسبة للتوصيل,7900,https://opensooq-images.os-cdn.com/previews/220x0/6ee6/8edd/6ee68edde75ad0c7a738abeed2e9947046b762be383ded8a4996f74d748e25af.jpg.jpg,"٩٠,٠٠٠ - ٩٩,٩٩٩",2012,كيا
name,price,img,km,year,type
كيا بيكانتو 2012 توماتيك 4 جيد مناسبة للتوصيل,7900,https://opensooq-images.os-cdn.com/previews/220x0/6ee6/8edd/6ee68edde75ad0c7a738abeed2e9947046b762be383ded8a4996f74d748e25af.jpg.jpg,"٩٠,٠٠٠ - ٩٩,٩٩٩",2012,كيا
كيا اوبتما 2016 k5 قصه 2019 جمرك جديد,16950,https://opensooq-images.os-cdn.com/previews/220x0/321e/97a0/321e97a020a85c32ceab06fe1646d551d65a0a49e8fc3a414c831b6bc72953b5.jpg.jpg,٠,2016,كيا
نيسان صني 2012 الشكل الجديد,7500,https://opensooq-images.os-cdn.com/previews/220x0/cd26/f4fa/cd26f4faf45d5dadfe091fecea5d0469dd8c3d8b31892dcb5d655318d6b9fea8.jpg.jpg,"١٥٠,٠٠٠ - ١٥٩,٩٩٩",2012,نيسان
اوبل اسكونا موديل 82 ماتور 1006بيان جمركي قير5غيار,1000,https://opensooq-images.os-cdn.com/previews/220x0/95e5/2109/95e521091d97e5cb33a0d65784d3211bc887908cbb180d56fae14a3865b4aa01.jpg.jpg,"١ - ٩,٩٩٩",1982,أوبل
هونداي افانتي 2011 فل وفحص كامل للبيع,11800,https://opensooq-images.os-cdn.com/previews/220x0/e304/f2f5/e304f2f5758ff3ace97f6cf30804c2271f21b1f64b0471679a835653dd25eec0.jpg.jpg,"٧٠,٠٠٠ - ٧٩,٩٩٩",2011,هيونداي
شفروليه كروز 2010 فل الفل سبعة جيد مع فتحه بلادها ماتور 1600 ترخيص الشهر 5 2020,8500,https://opensooq-images.os-cdn.com/previews/220x0/206f/ed7d/206fed7d5d1b556c38e7e8c75fe5dfd3ae576f1038b93e715ba2defac0102b4c.jpg.jpg,"١٧٠,٠٠٠ - ١٧٩,٩٩٩",2010,شيفروليه
